CX-Tau,SZ50,DF-Tau,DG-Tau,BP-Tau,DR-Tau,GW-Lup,FT-Tau,V1094Sco,DN-Tau,CY-Tau,IM-Lup,AA-Tau,DL-Tau,RNO90,TW-Hya,DM-Tau,WX-Cha,LkCa15,SY-Cha,WA-Oph6,HK-Tau-B,RW-Aur,XX-Cha,SZ98,VW-Cha,wavelength
0.094564,0.135031714988155,1.2865566666666666,1.8647366666666667,0.31683333333333336,2.050333333333333,,0.16273666666666667,0.135167,0.2393966666666667,0.1747970775,0.28012802715728663,0.36118999999999996,0.7127866666666667,2.245803375,,0.029056666666666665,0.51126031,0.15504203,0.173040958332216,0.915681265,0.19419,1.00892,0.13823579749999998,0.353582,0.926323055,5.125
0.099114375,0.14635953953506914,1.1445725,1.9890512500000002,0.33040375000000005,1.9145725,,0.1719325,0.130255875,0.2285725,0.17013551250000003,0.2884505708373897,0.35399625,0.7368125000000001,2.0946685625,0.22400374285714286,0.02799,0.4424442624999999,0.15351426375,0.16571005312690062,0.8898664675,0.190915,0.9928925,0.13188187125,0.33794125,0.8786278687499999,5.375
0.098762625,0.14486653040175013,1.0541550000000002,2.01170625,0.31981125000000005,1.8817062500000001,,0.16308,0.12260737499999999,0.2269575,0.16503654625000003,0.28580542746506044,0.34905375,0.69250375,2.01820735,0.2156804875,0.026260000000000002,0.42462924874999997,0.14324736250000003,0.1596754656075575,0.87376573,0.18081624999999998,0.94914,0.1279396525,0.33855425,0.83430672,5.625
0.09891699999999999,0.14747578031048564,1.0753949999999999,2.1102575000000003,0.31747125,1.8924225,,0.1569575,0.123200125,0.22262,0.1597605025,0.29053997731660863,0.34553125000000007,0.7070862499999999,1.9592225625,0.21220775,0.02532375,0.42253442125,0.14069922375000002,0.16172375587877688,0.8613755287499999,0.17273375000000002,0.92802125,0.126168655,0.34446637500000005,0.8095278462500001,5.875
0.10022955555555556,0.1501687421842818,1.0378466666666666,2.1229133333333334,0.32105222222222224,1.842032222222222,,0.15421888888888888,0.1183231111111111,0.22323333333333334,0.15397322444444445,0.28959566596206915,0.34051444444444445,0.7194255555555555,1.894128,0.20494286666666667,0.02414777777777778,0.4062401455555556,0.13230970444444443,0.15893151727292001,0.8485547611111111,0.17035000000000003,0.9121822222222222,0.12382726555555555,0.3492153333333333,0.7760163766666667,6.125
0.10052812499999998,0.14774803415814816,0.9951162500000001,2.1610875,0.31935125,1.82222375,,0.15086125,0.11541525,0.222835,0.14950291375,0.28773517485762257,0.34131375,0.7134762499999999,1.8805828125,0.20077976250000001,0.022766250000000002,0.39696570375000007,0.12716879625000002,0.15702716199700936,0.8511761675,0.16578375000000004,0.92102125,0.12094053625000001,0.36385737500000004,0.7529046974999999,6.375
0.10413275,0.15140617104681187,1.01363,2.2967275,0.31588249999999995,1.8555775,,0.158985,0.113063375,0.2180375,0.15176737875000001,0.2877011392411333,0.3437475,0.71238625,1.8635378125,0.18723078750000002,0.02087625,0.39985847624999993,0.124937275,0.15403281257892462,0.8513207712499999,0.16113,0.987175,0.12378675374999999,0.3758855,0.74016654375,6.625
0.10482812500000001,0.1531307894960331,0.96477,2.34296375,0.3124125,1.81157875,,0.15383124999999997,0.107432,0.2183175,0.14577006374999998,0.29472411840377977,0.33783500000000005,0.7117062500000001,1.816117225,0.193489275,0.020388750000000004,0.37662426499999996,0.11883670874999999,0.15510314730710537,0.84202639375,0.1536175,0.95665,0.12229869749999998,0.37837237500000004,0.7181777025,6.875
0.10841511111111113,0.14939329899774267,0.9384266666666665,2.4031388888888885,0.3132522222222222,1.8037722222222223,,0.15334777777777775,0.10552122222222222,0.21930222222222223,0.1410417922222222,0.29424734920904805,0.3328544444444444,0.7293700000000001,1.7891436222222221,0.19199525555555555,0.019912222222222227,0.36837881555555557,0.1158215411111111,0.1569099410693549,0.8453727944444444,0.15735777777777782,0.9685888888888888,0.1189185688888889,0.3860253333333334,0.6908545855555556,7.125
0.108156875,0.1500365148416279,0.9079775,2.48021,0.3135125,1.7921375000000002,,0.14938875,0.10641933333333332,0.22353,0.13784918375,0.2985143752316747,0.33788749999999995,0.7262637500000001,1.770989925,0.198610425,0.019035,0.36625087125,0.108467905,0.15921898605100687,0.8500867,0.15753750000000002,0.9787925000000001,0.11918696874999998,0.38955324999999996,0.6939686599999999,7.375
0.108591,0.15889439915004033,0.8678124999999999,2.516574,0.306574,1.807038,0.09900732902738434,0.15435400000000002,0.102392,0.23197599999999996,0.13714558799999998,0.29835528076564494,0.34499399999999997,0.733592,1.7397454599999995,0.1879357,0.0184325,0.358837042,0.110020168,0.163096504551805,0.85757286,0.158096,0.9844820000000001,0.11901286600000001,0.3928413333333333,0.689978148,7.625
0.11541779999999999,0.1653868577301908,0.885046,2.527458,0.311122,1.857548,0.10406303388868439,0.158898,0.10231900000000001,0.24086600000000002,0.13060038999999998,0.30622521488987786,0.35204199999999997,0.737804,1.75019846,0.18824086,0.017492,0.381711388,0.10974547800000001,0.162211349467066,0.8654564600000001,0.152542,1.048968,0.120265456,0.41867040000000005,0.700523828,7.875
0.13072224999999998,0.17144018332698724,0.9129575,2.5540025,0.34467499999999995,1.9340600000000001,0.1143827631137895,0.1735425,0.11083525,0.24866749999999999,0.1335449275,0.33881798678856545,0.36784249999999996,0.7521575,1.860347475,0.23030202500000002,0.019719999999999998,0.4239406625,0.118317955,0.17155597045378673,0.9118122675,0.16209500000000002,1.0824225,0.1318250425,0.47823925,0.757186985,8.125
