,wavelength,flux,sigma
170,13.0801,3.8801900000000002,0.07466
171,13.1406,3.8700300000000003,0.09072999999999999
172,13.2011,3.91347,0.07876
173,13.2616,3.9120199999999996,0.09356
174,13.3221,3.93565,0.06832
175,13.3826,3.93952,0.07897
176,13.443,3.96401,0.07743
177,13.5035,3.9719300000000004,0.07502
178,13.564,4.00889,0.09571
179,13.6245,4.048080000000001,0.09306
180,13.685,4.0736300000000005,0.10622999999999999
181,13.7455,4.0860199999999995,0.09845
182,13.8059,4.12516,0.09836
183,13.8664,4.19211,0.10146000000000001
184,13.9269,4.2,0.07887999999999999
185,13.9874,4.2049199999999995,0.12172000000000001
186,14.0401,4.2392900000000004,0.08202999999999999
187,14.1051,4.23161,0.054770000000000006
188,14.1703,4.25289,0.05563
189,14.2359,4.269419999999999,0.11727
190,14.3127,4.23893,0.06745
191,14.39,4.292330000000001,0.07898
192,14.4677,4.356990000000001,0.08982000000000001
193,14.5458,4.33196,0.09852000000000001
194,14.6244,4.46582,0.10463
195,14.7033,4.46836,0.10780999999999999
196,14.7827,4.488519999999999,0.1044
197,14.8625,4.54064,0.09832
198,14.9427,4.5458,0.09458
199,15.0234,4.5393099999999995,0.09621
200,15.1074,4.50891,0.08972999999999999
201,15.1744,4.5461800000000006,0.07368
202,15.2446,4.60588,0.06986
203,15.3122,4.6926,0.09077
204,15.3978,4.72138,0.09372
205,15.481,4.73339,0.08626
206,15.5646,4.8280400000000006,0.08692000000000001
207,15.6486,4.873130000000001,0.12410999999999998
208,15.7331,4.96361,0.12204000000000001
209,15.818,5.04117,0.12448
210,15.9034,5.19782,0.11731
211,15.9893,5.33782,0.11857999999999999
212,16.0756,5.262980000000001,0.12236
213,16.1624,5.33716,0.15213
214,16.2497,5.43115,0.1423
215,16.3406,5.36827,0.12364000000000001
216,16.413,5.39786,0.07789
217,16.5016,5.33372,0.09156
218,16.5907,5.43585,0.10212
219,16.6803,5.52933,0.10557000000000001
220,16.7703,5.54678,0.09942999999999999
221,16.8609,5.6951,0.12953
222,16.9519,5.6732,0.13272
223,17.0434,5.74878,0.12888
224,17.1354,5.81415,0.1438
225,17.228,5.92427,0.15691
226,17.321,6.03796,0.16087
227,17.4145,6.07338,0.15909
228,17.5086,6.150519999999999,0.16138
229,17.6031,6.24199,0.14849
230,17.6981,6.3732,0.15574000000000002
231,17.7936,6.27186,0.0945
232,17.8725,6.23872,0.10122
233,17.9725,6.41971,0.10074
234,18.0695,6.45683,0.09697
235,18.1671,6.55483,0.10752
236,18.2652,6.6829600000000005,0.13095
237,18.3638,6.740310000000001,0.13529000000000002
238,18.4629,6.87078,0.13885999999999998
239,18.5626,6.948360000000001,0.15049
240,18.6628,6.99817,0.17003
241,18.7636,7.14715,0.16599
242,18.8649,7.15827,0.19324000000000002
243,18.9668,7.2047300000000005,0.18365
244,19.0692,7.26837,0.18242
245,19.1721,7.3616,0.15654
246,19.2828,7.4751199999999995,0.0902
247,19.3838,7.54055,0.10164
248,19.5164,7.60085,0.07601000000000001
249,19.6306,7.7091899999999995,0.07708999999999999
250,19.7454,7.61494,0.07615
251,19.8609,7.596939999999999,0.07597000000000001
252,19.9605,7.63663,0.07637000000000001
253,20.0605,7.756069999999999,0.07756
254,20.1611,7.6441,0.07644
255,20.279,7.769239999999999,0.07769
256,20.3977,7.8745899999999995,0.07875
257,20.517,7.986339999999999,0.07986
258,20.637,8.00505,0.08005
259,20.7578,8.12134,0.08121
260,20.8835,8.19668,0.08197
261,20.9838,8.279760000000001,0.0828
262,21.089,8.328660000000001,0.08329
263,21.1889,8.368889999999999,0.08369
264,21.3188,8.44581,0.08446000000000001
265,21.4435,8.4027,0.08403
266,21.5689,8.4028,0.08403
267,21.6951,8.39424,0.08394
268,21.822,8.4024,0.08402000000000001
269,21.9497,8.3056,0.08306000000000001
270,22.0781,8.36319,0.08363
271,22.2135,8.52685,0.08527
272,22.3186,8.65272,0.08653
273,22.4305,8.68288,0.08682999999999999
274,22.5429,8.67585,0.08676
275,22.6559,8.857669999999999,0.08857999999999999
276,22.7884,8.88358,0.08884
277,22.9218,8.93305,0.08932999999999999
278,23.0559,8.94968,0.0895
279,23.1908,9.04792,0.09047999999999999
280,23.3264,9.006739999999999,0.09007000000000001
281,23.4629,9.02438,0.09024
282,23.6037,9.172830000000001,0.09172999999999999
283,23.7185,9.17644,0.09176000000000001
284,23.8314,9.19873,0.09199
285,23.9768,9.267669999999999,0.09268
286,24.1171,9.291789999999999,0.09292
287,24.2582,9.23099,0.09231
288,24.4001,9.260819999999999,0.09261
289,24.5428,9.30505,0.09305
290,24.6864,9.23602,0.09236
291,24.8308,9.22505,0.09225
292,24.9761,9.27021,0.0927
293,25.1174,9.40675,0.09407
294,25.2412,9.47108,0.09471
295,25.3959,9.38177,0.09382
296,25.5444,9.41838,0.09418
297,25.6939,9.47826,0.09477999999999999
298,25.8442,9.482289999999999,0.09482
299,25.9954,9.69068,0.09691
300,26.1475,9.435780000000001,0.09436
301,26.3005,9.44512,0.09445
302,26.4544,9.36036,0.0936
303,26.6091,9.44631,0.09446
304,26.7648,9.60042,0.096
305,26.8989,9.72747,0.09727000000000001
306,27.0338,9.84874,0.09849
307,27.1617,10.0181,0.10017999999999999
308,27.3282,10.1465,0.10146000000000001
309,27.4881,10.2262,0.10226
310,27.6489,10.2891,0.10289000000000001
311,27.8107,10.0881,0.10088
312,27.9734,10.1345,0.10134
313,28.137,10.1232,0.10123
314,28.3017,10.164,0.10164
315,28.4672,10.1046,0.10105
316,28.6338,10.1439,0.10144
317,28.8013,10.1051,0.10105
318,28.9642,10.262,0.10262
319,29.115,10.2424,0.10242000000000001
320,29.2549,10.2928,0.10293
321,29.4321,10.4143,0.10414000000000001
322,29.6043,10.4175,0.10417
323,29.7775,10.2875,0.10288
324,29.9517,10.2619,0.10262
325,30.1269,10.2275,0.10227
326,30.3032,10.3722,0.10372
327,30.4805,10.3705,0.1037
328,30.6588,10.4067,0.10407000000000001
329,30.8382,10.4421,0.10442
330,31.0186,10.4927,0.10493
331,31.2001,10.8599,0.1086
332,31.3517,10.7625,0.10762000000000001
