wavelength,flux,sigma
11.380016,0.161923,0.002197
11.388939,0.1661,0.002618
11.39786,0.164606,0.002941
11.406779,0.16186,0.002047
11.415697,0.160964,0.002312
11.424613,0.164008,0.002573
11.433529,0.164473,0.002972
11.442442,0.163262,0.00254
11.451353,0.161397,0.002059
11.460264,0.161806,0.002708
11.469173,0.162068,0.002925
11.478081,0.162043,0.001925
11.486986,0.161571,0.001868
11.495892,0.162656,0.00204
11.504794,0.16037,0.00224
11.513696,0.165349,0.00237
11.522596,0.160598,0.002132
11.531494,0.160536,0.002056
11.540392,0.160691,0.002944
11.549287,0.161157,0.001721
11.558182,0.158328,0.002449
11.567074,0.157373,0.002411
11.575966,0.158549,0.002406
11.584855,0.157799,0.002193
11.593743,0.15795,0.002862
11.60263,0.159525,0.001785
11.611515,0.155034,0.003617
11.620399,0.158722,0.002587
11.629282,0.160391,0.002364
11.638163,0.158238,0.002143
11.647041,0.156519,0.008112
11.65592,0.152876,0.001913
11.664797,0.158497,0.001893
11.673672,0.156355,0.00315
11.682545,0.154283,0.061748
11.691418,0.154002,0.002174
11.708624,0.155296,0.002109
11.718117,0.151784,0.001791
11.72761,0.156213,0.002716
11.7371,0.154691,0.002951
11.746588,0.150518,0.022691
11.756075,0.151399,0.002067
11.765561,0.15169,0.002609
11.775045,0.151762,0.002503
11.784528,0.149596,0.002174
11.794008,0.148884,0.00159
11.803488,0.150175,0.043867
11.812965,0.148904,0.002072
11.822443,0.148631,0.002029
11.83192,0.147898,0.001593
11.841393,0.14625,0.001471
11.850864,0.150439,0.001416
11.860332,0.148386,0.001536
11.869801,0.146584,0.001605
11.879268,0.146572,0.001473
11.888732,0.148253,0.001857
11.898195,0.149242,0.001567
11.907658,0.148068,0.001888
11.917116,0.146937,0.002916
11.926575,0.148522,0.002146
11.936031,0.147327,0.001839
11.945487,0.147176,0.001799
11.954941,0.147169,0.002007
11.964392,0.147871,0.001975
11.973843,0.148816,0.001744
11.983292,0.147656,0.001671
11.992739,0.145342,0.001403
12.002184,0.147846,0.001202
12.011629,0.145942,0.001509
12.02107,0.144762,0.002228
12.030512,0.14448,0.002307
12.039951,0.143576,0.002138
