,wavelength,flux,sigma,order
113,9.8745,1.040657,0.014482,1.0
114,9.93498,1.043253,0.012783,1.0
115,9.99547,1.028879,0.017308,1.0
116,10.05595,1.034562,0.01785,1.0
117,10.116430000000001,1.0371290000000002,0.017779,1.0
118,10.176919999999999,1.03888,0.013428,1.0
119,10.2374,1.02745,0.014038,1.0
120,10.297880000000001,1.018593,0.014508000000000002,1.0
121,10.358369999999999,1.020548,0.017519999999999997,1.0
122,10.41885,1.0061360000000001,0.013231999999999999,1.0
123,10.479330000000001,0.99105,0.013891999999999998,1.0
124,10.539819999999999,0.98925,0.02562,1.0
125,10.6003,0.9894379999999999,0.021557,1.0
126,10.660789999999999,0.9790049999999999,0.014411000000000002,1.0
127,10.72127,0.969247,0.037008,1.0
128,10.78175,0.9656319999999999,0.036343,1.0
129,10.842239999999999,0.9546020000000001,0.014034999999999999,1.0
130,10.90272,0.941736,0.014505,1.0
131,10.9632,0.9316840000000001,0.014849000000000001,1.0
132,11.02369,0.931466,0.017305,1.0
133,11.08417,0.923416,0.013854,1.0
134,11.14465,0.907609,0.01646,1.0
135,11.20514,0.900285,0.017303,1.0
136,11.26562,0.892042,0.015103,1.0
137,11.32611,0.8816719999999999,0.017494,1.0
138,11.38659,0.8706809999999999,0.014417,1.0
139,11.44707,0.8668020000000001,0.01832,1.0
140,11.50756,0.8493069999999999,0.018106999999999998,1.0
141,11.56804,0.8294799999999999,0.01365,1.0
142,11.62852,0.8177949999999999,0.013758000000000001,1.0
143,11.689010000000001,0.797463,0.019429,1.0
144,11.74949,0.78786,0.013430000000000001,1.0
145,11.80997,0.770101,0.031797000000000006,1.0
146,11.870460000000001,0.759931,0.015655000000000002,1.0
147,11.93094,0.756939,0.017018000000000002,1.0
148,11.991430000000001,0.753899,0.030458,1.0
149,12.051910000000001,0.749929,0.016622,1.0
150,12.11239,0.734869,0.015316,1.0
151,12.172880000000001,0.722989,0.037416000000000005,1.0
152,12.233360000000001,0.710939,0.014616,1.0
153,12.29384,0.7111569999999999,0.015125999999999999,1.0
154,12.354330000000001,0.708149,0.025321,1.0
155,12.414810000000001,0.708494,0.017082,1.0
156,12.47529,0.7019449999999999,0.017066,1.0
157,12.53578,0.690336,0.015474000000000002,1.0
158,12.596260000000001,0.688195,0.015777,1.0
159,12.65675,0.692823,0.017981,1.0
160,12.71723,0.691774,0.016694,1.0
161,12.77771,0.685244,0.015073,1.0
162,12.8382,0.68723,0.016709,1.0
163,12.89868,0.691103,0.015073,1.0
164,12.95916,0.6822239999999999,0.015068999999999999,1.0
165,13.01965,0.687873,0.015026,1.0
166,13.08013,0.692298,0.0147,1.0
167,13.14061,0.687229,0.019190000000000002,1.0
168,13.2011,0.69419,0.016986,1.0
169,13.261579999999999,0.6930149999999999,0.022105,1.0
170,13.32206,0.698716,0.018231,1.0
171,13.38255,0.691639,0.017472,1.0
172,13.443029999999998,0.703267,0.031942,1.0
173,13.503520000000002,0.702875,0.016022,1.0
174,13.564,0.708425,0.023523,1.0
175,13.624479999999998,0.710436,0.015465000000000001,1.0
176,13.684970000000002,0.708596,0.0177,1.0
177,13.74545,0.717585,0.017863,1.0
178,13.805929999999998,0.714655,0.022682,1.0
179,13.866420000000002,0.724224,0.016749,1.0
180,13.9269,0.729586,0.019129,1.0
181,13.987379999999998,0.73705,0.019665000000000002,1.0
182,14.06935,0.781572,0.023108,5.0
183,14.154029999999999,0.786791,0.018798,5.0
184,14.238710000000001,0.796736,0.022959999999999998,5.0
185,14.323379999999998,0.782221,0.016991,5.0
186,14.40806,0.7963399999999999,0.020697,5.0
187,14.49274,0.809484,0.026425,5.0
188,14.57741,0.8102050000000001,0.031236,5.0
189,14.66209,0.80975,0.01693,5.0
190,14.746770000000001,0.80329,0.021109,5.0
191,14.83145,0.830463,0.024184999999999998,5.0
192,14.916120000000001,0.8382350000000001,0.024973,5.0
193,15.0008,0.8563049999999999,0.016549,5.0
194,15.085479999999999,0.839407,0.018941999999999997,5.0
195,15.17015,0.849484,0.02061,5.0
196,15.254829999999998,0.8594120000000001,0.01546,5.0
197,15.33951,0.885335,0.07447999999999999,5.0
198,15.424179999999998,0.884129,0.05695599999999999,5.0
199,15.50886,0.900789,0.060034000000000004,5.0
200,15.593539999999999,0.912745,0.051696000000000006,5.0
201,15.67821,0.9252049999999999,0.035514,5.0
202,15.762889999999999,0.937457,0.016125999999999998,5.0
203,15.847570000000001,0.936866,0.022205000000000003,5.0
204,15.93224,0.946471,0.017816,5.0
205,16.016920000000002,0.9738620000000001,0.017838999999999997,5.0
206,16.101601000000002,0.974476,0.020003,5.0
207,16.186279000000003,0.9962,0.020435,5.0
208,16.27095,0.9977370000000001,0.025593,5.0
209,16.355631,1.0073370000000001,0.022894,5.0
210,16.44031,1.0141959999999999,0.024902,5.0
211,16.524981,1.017867,0.019356,5.0
212,16.609659,1.033252,0.059628,5.0
213,16.69434,1.037995,0.030579000000000002,5.0
214,16.779010999999997,1.036149,0.027694999999999997,5.0
215,16.863689,1.0466540000000002,0.028723000000000002,5.0
216,16.94837,1.0464950000000002,0.021296000000000002,5.0
217,17.033039000000002,1.045179,0.025972000000000002,5.0
218,17.117720000000002,1.050236,0.022812,5.0
219,17.2024,1.063721,0.021144,5.0
220,17.287069,1.074395,0.032728,5.0
221,17.37175,1.068434,0.027073000000000003,5.0
222,17.456429999999997,1.1018430000000001,0.033373,5.0
223,17.541109,1.104636,0.023781999999999998,5.0
224,17.62578,1.102902,0.026737999999999998,5.0
225,17.710461,1.1186200000000002,0.028704,5.0
226,17.795139000000002,1.107799,0.048978,5.0
227,17.87981,1.114434,0.058313,5.0
228,17.964491,1.120336,0.051967,5.0
229,18.04917,1.122511,0.039975,5.0
230,18.133841,1.122395,0.02837,5.0
231,18.218519,1.134139,0.027578,5.0
232,18.3032,1.124557,0.037854,5.0
233,18.387871,1.1415540000000002,0.038095,5.0
234,18.472549,1.1496,0.040013,5.0
235,18.55723,1.149794,0.032070999999999995,5.0
236,18.641899,1.159229,0.048418,5.0
237,18.72658,1.157694,0.029791,5.0
238,18.81126,1.168985,0.028551999999999998,5.0
239,18.895941,1.158824,0.029477999999999997,5.0
240,18.980610000000002,1.1269930000000001,0.024692,5.0
241,19.06529,1.142398,0.031830000000000004,5.0
242,19.149969,1.154942,0.060351,5.0
243,19.23464,1.16242,0.028203,5.0
244,19.319321,1.154922,0.036999000000000004,5.0
245,19.403999,1.144306,0.039391,5.0
246,19.488670000000003,1.133823,0.037962,5.0
247,19.573351000000002,1.14543,0.080277,5.0
248,19.65803,1.152883,0.031769,5.0
249,19.742701,1.145943,0.035106,5.0
250,19.827379,1.1339540000000001,0.029960000000000004,5.0
251,19.91206,1.1340299999999999,0.039904,5.0
252,19.996731,1.133892,0.039156,5.0
253,20.081409,1.135899,0.037336,5.0
254,20.16609,1.1481940000000002,0.035823,5.0
255,20.250771,1.156798,0.039789,5.0
256,20.33544,1.1490850000000001,0.042832,5.0
257,20.42012,1.1362809999999999,0.040567,5.0
258,20.504801,1.1146040000000002,0.050179,5.0
259,20.589470000000002,1.086963,0.031219,4.0
260,20.758829000000002,1.1007959999999999,0.048657,4.0
261,20.928181,1.139764,0.03696,4.0
262,21.09753,1.109588,0.032772,4.0
263,21.26689,1.113587,0.032736,4.0
264,21.436239,1.128525,0.03218,4.0
265,21.6056,1.115,0.02414,4.0
266,21.77495,1.115221,0.025565,4.0
267,21.9443,1.125777,0.035331,4.0
268,22.113660999999997,1.1176549999999998,0.030737999999999998,4.0
269,22.28301,1.118439,0.037251,4.0
270,22.452360000000002,1.123825,0.023944,4.0
271,22.621719,1.094957,0.024761000000000002,4.0
272,22.791071,1.1280059999999998,0.036508,4.0
273,22.96043,1.111,0.019787,4.0
274,23.12978,1.110555,0.058066999999999994,4.0
275,23.299129,1.098873,0.022185,4.0
276,23.468491,1.103022,0.032059,4.0
277,23.63784,1.112682,0.023885,4.0
278,23.80719,1.0987719999999999,0.048838,4.0
279,23.976549,1.100617,0.023246,4.0
280,24.145901000000002,1.094108,0.019198,4.0
281,24.315260000000002,1.0855709999999998,0.032536,4.0
282,24.48461,1.068339,0.034908,4.0
283,24.653959,1.0748149999999999,0.017028,4.0
284,24.823320000000002,1.06996,0.018434,4.0
285,24.99267,1.097364,0.030962,4.0
286,25.162020000000002,1.090223,0.024812999999999998,4.0
287,25.331381,1.0793469999999998,0.023872,4.0
288,25.500731,1.07015,0.023750999999999998,4.0
289,25.67009,1.062555,0.021474,4.0
290,25.839439000000002,1.0487469999999999,0.019538999999999997,4.0
291,26.008789,1.0654649999999999,0.020619,4.0
292,26.17815,1.0671549999999999,0.021366,4.0
293,26.3475,1.064366,0.022063,4.0
294,26.51685,1.056362,0.020972,4.0
295,26.686211,1.059684,0.024175,4.0
296,26.855559999999997,1.077862,0.026532,4.0
297,27.02492,1.06178,0.033877,4.0
298,27.194269,1.051763,0.041219,4.0
299,27.363621000000002,1.042184,0.026393,4.0
300,27.53298,1.043841,0.027295999999999997,4.0
301,27.70233,1.036316,0.028299,4.0
302,27.871678999999997,1.046671,0.023036,4.0
303,28.041040000000002,1.044409,0.035495,4.0
304,28.210390000000004,1.069376,0.044338,4.0
305,28.379749,1.028086,0.027011,4.0
306,28.549101,1.039803,0.023187,4.0
307,28.718451,1.0340790000000002,0.030872000000000004,4.0
308,28.887809999999998,1.009053,0.031013,4.0
309,29.057159000000002,1.006902,0.029852999999999998,4.0
310,29.226509000000004,1.009542,0.025109,4.0
311,29.395870000000002,1.01224,0.032967,4.0
312,29.56522,1.001596,0.031199,4.0
313,29.734578999999997,1.008605,0.025494,4.0
314,29.903931,1.0152700000000001,0.022953,4.0
315,30.07328,0.994165,0.022366999999999998,4.0
316,30.24264,0.994041,0.035393,4.0
