,wavelength,flux,sigma
240,18.6628,1.8243200000000002,0.02059
241,18.7636,1.8836700000000002,0.025519999999999998
242,18.8649,1.8621299999999998,0.02185
243,18.9668,1.88287,0.01883
244,19.0692,1.8757400000000002,0.01876
245,19.1721,1.93068,0.02465
246,19.2828,1.9599,0.0196
247,19.3838,1.89635,0.021240000000000002
248,19.5164,1.8712400000000002,0.01871
249,19.6306,1.93877,0.01939
250,19.7454,1.8912,0.01891
251,19.8609,1.8521,0.01852
252,19.9605,1.97859,0.019790000000000002
253,20.0605,1.95261,0.02872
254,20.1611,1.82677,0.018269999999999998
255,20.279,1.9065599999999998,0.01907
256,20.3977,1.91379,0.01914
257,20.517,1.9281,0.019280000000000002
258,20.637,1.9293799999999999,0.01929
259,20.7578,1.9042299999999999,0.01904
260,20.8835,1.91231,0.019119999999999998
261,20.9838,1.95003,0.0195
262,21.089,1.9375799999999999,0.01938
263,21.1889,2.02589,0.021
264,21.3188,1.9988700000000001,0.01999
265,21.4435,1.9483,0.01948
266,21.5689,1.95261,0.019530000000000002
267,21.6951,1.9458,0.019459999999999998
268,21.822,2.0110200000000003,0.02011
269,21.9497,1.88618,0.01886
270,22.0781,1.9265,0.01926
271,22.2135,1.89152,0.01892
272,22.3186,1.9535099999999999,0.019540000000000002
273,22.4305,1.9226400000000001,0.01923
274,22.5429,1.9109900000000002,0.01911
275,22.6559,1.96945,0.01969
276,22.7884,1.94304,0.019430000000000003
277,22.9218,1.96786,0.01968
278,23.0559,1.95912,0.01959
279,23.1908,1.9653,0.01965
280,23.3264,1.88163,0.01882
281,23.4629,1.90047,0.019
282,23.6037,1.98469,0.01985
283,23.7185,1.90962,0.0191
284,23.8314,2.00877,0.02009
285,23.9768,1.98658,0.01987
286,24.1171,1.9441,0.01944
287,24.2582,1.9166400000000001,0.01917
288,24.4001,1.90563,0.01906
289,24.5428,1.9349,0.01935
290,24.6864,1.87573,0.01876
291,24.8308,1.8334400000000002,0.018330000000000003
292,24.9761,1.90125,0.01901
293,25.1174,1.9940799999999999,0.01994
294,25.2412,2.00693,0.020069999999999998
295,25.3959,1.93976,0.0194
296,25.5444,1.9190599999999998,0.019190000000000002
297,25.6939,1.88745,0.018869999999999998
298,25.8442,1.87723,0.01877
299,25.9954,2.0341299999999998,0.02034
300,26.1475,1.8629799999999999,0.01863
301,26.3005,1.8394400000000002,0.01839
302,26.4544,1.82808,0.01828
303,26.6091,1.92015,0.0192
304,26.7648,1.8807099999999999,0.01895
305,26.8989,1.8658700000000001,0.01866
306,27.0338,1.9314799999999999,0.01931
307,27.1617,1.9322,0.01932
308,27.3282,1.9327900000000002,0.01933
309,27.4881,1.95462,0.01955
310,27.6489,1.95977,0.0196
311,27.8107,1.90255,0.019030000000000002
312,27.9734,1.91635,0.01916
313,28.137,1.92065,0.019209999999999998
314,28.3017,1.89914,0.01899
315,28.4672,1.8652099999999998,0.01865
316,28.6338,1.80857,0.018090000000000002
317,28.8013,1.7722900000000001,0.01772
318,28.9642,1.82378,0.01824
319,29.115,1.8504099999999999,0.0185
320,29.2549,1.83885,0.01839
321,29.4321,1.93743,0.01937
322,29.6043,1.91962,0.0192
323,29.7775,1.8299299999999998,0.0183
324,29.9517,1.7845099999999998,0.01814
325,30.1269,1.7888,0.01789
