,wavelength,flux,sigma,order
112,9.93498,0.11790999999999999,0.005635,1.0
113,9.99547,0.118459,0.008078,1.0
114,10.05595,0.118078,0.0077209999999999996,1.0
115,10.116430000000001,0.122455,0.008232999999999999,1.0
116,10.176919999999999,0.118823,0.006878,1.0
117,10.2374,0.117823,0.006233,1.0
118,10.297880000000001,0.11929300000000001,0.006608,1.0
119,10.358369999999999,0.12048099999999999,0.0055899999999999995,1.0
120,10.41885,0.11960699999999999,0.005361,1.0
121,10.479330000000001,0.119274,0.006177,1.0
122,10.539819999999999,0.118894,0.006933,1.0
123,10.6003,0.121241,0.005940999999999999,1.0
124,10.660789999999999,0.12275499999999999,0.005589,1.0
125,10.72127,0.121626,0.0054659999999999995,1.0
126,10.78175,0.125141,0.0067,1.0
127,10.842239999999999,0.12074800000000001,0.009195,1.0
128,10.90272,0.121598,0.005734,1.0
129,10.9632,0.120868,0.006786,1.0
130,11.02369,0.122,0.006934,1.0
131,11.08417,0.120723,0.008273,1.0
132,11.14465,0.119424,0.006652,1.0
133,11.20514,0.11954300000000001,0.008546,1.0
134,11.26562,0.11778699999999999,0.006868000000000001,1.0
135,11.32611,0.11558,0.007547,1.0
136,11.38659,0.119004,0.006149,1.0
137,11.44707,0.11380499999999999,0.005912,1.0
138,11.50756,0.113277,0.010077,1.0
139,11.56804,0.11151300000000001,0.015537,1.0
140,11.62852,0.10756600000000001,0.0077209999999999996,1.0
141,11.689010000000001,0.106875,0.008936,1.0
142,11.74949,0.109517,0.007184,1.0
143,11.80997,0.109793,0.006163,1.0
144,11.870460000000001,0.107074,0.006319,1.0
145,11.93094,0.102062,0.0060149999999999995,1.0
146,11.991430000000001,0.104219,0.00703,1.0
147,12.051910000000001,0.10397,0.007902,1.0
148,12.11239,0.10225,0.012626,1.0
149,12.172880000000001,0.101628,0.006567,1.0
150,12.233360000000001,0.099353,0.008494,1.0
151,12.29384,0.099746,0.008591,1.0
152,12.354330000000001,0.098941,0.006815000000000001,1.0
153,12.414810000000001,0.098311,0.009812000000000001,1.0
154,12.47529,0.100484,0.010701,1.0
155,12.53578,0.09729299999999999,0.007417,1.0
156,12.596260000000001,0.097785,0.007402,1.0
157,12.65675,0.095589,0.008104,1.0
158,12.71723,0.09771200000000001,0.006328,1.0
159,12.77771,0.10176,0.008964,1.0
160,12.8382,0.097014,0.013528,1.0
161,12.89868,0.095473,0.009309999999999999,1.0
162,12.95916,0.096259,0.007417,1.0
163,13.01965,0.095157,0.006756,1.0
164,13.08013,0.096403,0.008298,1.0
165,13.14061,0.098217,0.007556,1.0
166,13.2011,0.099071,0.007058,1.0
167,13.261579999999999,0.095512,0.027373,1.0
168,13.32206,0.093875,0.010686,1.0
169,13.38255,0.095093,0.010148,1.0
170,13.443029999999998,0.09491000000000001,0.01098,1.0
171,13.503520000000002,0.09477100000000001,0.007287,1.0
172,13.564,0.091728,0.0075120000000000004,1.0
173,13.624479999999998,0.089045,0.008567,1.0
174,13.684970000000002,0.09489700000000001,0.020184999999999998,1.0
175,13.74545,0.098148,0.008834999999999999,1.0
176,13.805929999999998,0.09412000000000001,0.008296,1.0
177,13.866420000000002,0.093315,0.023247,1.0
178,13.9269,0.092923,0.021569,1.0
179,13.987379999999998,0.096147,0.014341,1.0
180,14.06935,0.095536,0.021471,5.0
181,14.154029999999999,0.09594,0.015109000000000001,5.0
182,14.238710000000001,0.100937,0.010145999999999999,5.0
183,14.323379999999998,0.09589500000000001,0.015479,5.0
184,14.40806,0.09968400000000001,0.012489,5.0
185,14.49274,0.098491,0.014126,5.0
186,14.57741,0.097505,0.009651999999999999,5.0
187,14.66209,0.091886,0.010323,5.0
188,14.746770000000001,0.09710099999999999,0.009133,5.0
189,14.83145,0.101663,0.014032,5.0
190,14.916120000000001,0.103173,0.013359000000000001,5.0
191,15.0008,0.107404,0.008881,5.0
192,15.085479999999999,0.103805,0.012912,5.0
193,15.17015,0.10452,0.014496,5.0
194,15.254829999999998,0.104307,0.011028,5.0
195,15.33951,0.109352,0.007879,5.0
196,15.424179999999998,0.105558,0.009304,5.0
197,15.50886,0.103769,0.008459,5.0
198,15.593539999999999,0.106775,0.007441,5.0
199,15.67821,0.108242,0.007571,5.0
200,15.762889999999999,0.106173,0.009362,5.0
201,15.847570000000001,0.106108,0.015608000000000002,5.0
202,15.93224,0.106824,0.01789,5.0
203,16.016920000000002,0.11058699999999999,0.010716,5.0
204,16.101601000000002,0.10811300000000001,0.019844,5.0
205,16.186279000000003,0.113151,0.009115999999999999,5.0
206,16.27095,0.108214,0.014922,5.0
207,16.355631,0.103996,0.009882,5.0
208,16.44031,0.105377,0.009834,5.0
209,16.524981,0.1067,0.011125,5.0
210,16.609659,0.11099500000000001,0.010154,5.0
211,16.69434,0.10956099999999999,0.009815,5.0
212,16.779010999999997,0.10838199999999999,0.009969,5.0
213,16.863689,0.11147699999999999,0.010203,5.0
214,16.94837,0.10878299999999999,0.010758,5.0
215,17.033039000000002,0.108924,0.013703,5.0
216,17.117720000000002,0.11473499999999999,0.011015,5.0
217,17.2024,0.116251,0.012916,5.0
218,17.287069,0.113026,0.013205000000000001,5.0
219,17.37175,0.101993,0.014524,5.0
220,17.456429999999997,0.107669,0.013555000000000001,5.0
221,17.541109,0.114816,0.036851999999999996,5.0
222,17.62578,0.117906,0.015912,5.0
223,17.710461,0.123147,0.012314,5.0
224,17.795139000000002,0.117942,0.034181,5.0
225,17.87981,0.112291,0.020037,5.0
226,17.964491,0.119496,0.018290999999999998,5.0
227,18.04917,0.12356199999999999,0.015744,5.0
228,18.133841,0.12758,0.015699,5.0
229,18.218519,0.121218,0.016492,5.0
230,18.3032,0.11978699999999999,0.017884,5.0
231,18.387871,0.118755,0.015517,5.0
232,18.472549,0.119895,0.015046,5.0
233,18.55723,0.118948,0.015765,5.0
234,18.641899,0.126935,0.015567,5.0
235,18.72658,0.129895,0.018665,5.0
236,18.81126,0.13333699999999998,0.013466999999999998,5.0
237,18.895941,0.132045,0.018364,5.0
238,18.980610000000002,0.12696500000000002,0.013321000000000001,5.0
239,19.06529,0.12831199999999998,0.014284999999999999,5.0
240,19.149969,0.128815,0.01481,5.0
241,19.23464,0.133167,0.015623,5.0
242,19.319321,0.141758,0.017432,5.0
243,19.403999,0.13935999999999998,0.015590999999999999,5.0
244,19.488670000000003,0.131418,0.021047999999999997,5.0
245,19.573351000000002,0.133938,0.023775,5.0
246,19.65803,0.135775,0.019363,5.0
247,19.742701,0.139724,0.021671,5.0
248,19.827379,0.137542,0.018895,5.0
249,19.91206,0.133306,0.027444,5.0
250,19.996731,0.126025,0.021169999999999998,5.0
251,20.081409,0.121459,0.032893,5.0
252,20.16609,0.11317,0.023585,5.0
253,20.250771,0.123477,0.0293,5.0
254,20.33544,0.13977699999999998,0.022303,5.0
255,20.42012,0.12778499999999998,0.029116000000000003,5.0
256,20.504801,0.144872,0.027816000000000004,5.0
257,20.589470000000002,0.11991099999999999,0.014962999999999999,4.0
258,20.758829000000002,0.131436,0.017668,4.0
259,20.928181,0.132589,0.016094999999999998,4.0
260,21.09753,0.137212,0.017415,4.0
261,21.26689,0.13453900000000002,0.017599,4.0
262,21.436239,0.132868,0.016453,4.0
263,21.6056,0.134188,0.013425,4.0
264,21.77495,0.131939,0.013662,4.0
265,21.9443,0.12979000000000002,0.015203,4.0
266,22.113660999999997,0.128505,0.016451,4.0
